id,machine_type,facility_zone,shift,sensor_model,maintenance_strategy,load_pct,rpm,power_kw,voltage_v,power_factor,vibration_mm_s,oil_pressure_bar,coolant_temp_c,bearing_temp_c,operating_hours,days_since_maintenance,anomaly_count_7d,sensor_uptime_pct,machine_state
78244,compressor,assembly,evening,S2,predictive,74.33,3062.6,112.18,395.41,0.8739,2.402,5.726,87.37,91.58,18681.1,17.02,1,99.046,1
78245,pump,assembly,day,S1,reactive,31.77,1726.8,28.16,389.18,0.9483,2.288,4.918,76.73,90.37,5739.0,129.94,1,97.803,1
78246,compressor,packaging,day,S2,preventive,69.36,3078.8,104.25,398.02,0.932,3.151,4.797,85.33,96.12,12178.5,110.21,1,99.991,1
78247,pump,cold_storage,day,S2,predictive,80.79,2148.1,59.21,385.18,0.9066,3.134,5.222,81.96,93.99,10027.9,76.31,0,98.527,1
78248,conveyor,assembly,evening,S4,reactive,71.33,1120.4,70.77,395.79,0.9299,1.873,4.88,81.69,90.24,2655.8,85.43,0,99.318,1
78249,conveyor,cold_storage,night,S2,preventive,47.21,1116.7,50.88,400.67,0.9205,,5.133,68.46,70.98,16384.5,14.89,0,99.803,1
78250,mixer,utilities,day,S4,preventive,58.0,1412.5,75.91,398.54,0.9078,2.071,5.725,85.31,97.4,23167.4,43.84,0,99.783,1
78251,mixer,utilities,night,S2,preventive,74.26,1591.0,118.06,393.43,0.9178,2.379,4.905,86.11,88.98,16115.5,30.08,0,99.928,1
78252,mixer,cold_storage,day,S3,preventive,71.92,1479.1,99.73,393.69,0.8884,2.383,5.332,74.25,84.86,17821.3,45.35,0,99.383,1
78253,pump,packaging,day,S3,predictive,43.3,1731.4,34.85,403.88,0.9123,2.752,5.906,74.82,87.04,25835.0,41.9,0,99.073,1
78254,conveyor,processing,evening,S2,preventive,57.96,1018.8,53.71,397.97,0.9082,3.409,4.405,77.78,89.44,5712.7,185.14,1,98.316,2
78255,turbine,packaging,day,S4,preventive,55.28,4791.6,178.99,418.22,0.9001,1.986,5.851,78.36,88.47,19717.2,28.42,0,99.495,1
78256,conveyor,assembly,night,S2,preventive,52.62,903.6,39.41,401.28,0.9629,2.833,4.995,80.66,91.97,9820.8,112.02,1,98.656,1
78257,conveyor,processing,day,S4,preventive,53.61,840.8,35.56,399.77,0.9256,2.273,4.808,70.69,82.65,33814.5,36.25,1,99.871,1
78258,conveyor,packaging,night,S3,reactive,50.72,866.2,37.39,409.58,0.9356,3.033,4.334,82.05,92.71,9210.5,84.99,1,99.226,3
78259,compressor,processing,evening,S3,preventive,89.05,3042.0,132.3,407.02,0.9026,2.576,6.181,93.63,99.33,16820.0,32.9,2,99.189,1
78260,conveyor,packaging,day,S1,preventive,79.32,1017.3,60.76,399.98,0.894,2.636,4.862,89.6,93.62,14966.0,41.75,0,99.943,1
78261,compressor,processing,day,S2,preventive,71.61,3124.1,107.26,393.36,0.945,2.434,5.662,87.22,93.14,23621.5,40.0,0,98.784,2
78262,mixer,packaging,evening,S3,preventive,56.55,1426.5,88.68,393.98,0.9513,2.706,4.705,68.88,72.1,18950.7,16.88,0,98.291,1
78263,mixer,processing,evening,S1,preventive,87.16,1670.7,147.46,398.97,0.961,2.904,5.323,90.65,104.12,23680.8,28.81,2,98.742,2
78264,conveyor,packaging,evening,S3,preventive,55.94,916.2,47.27,409.39,0.9224,3.24,4.708,86.34,93.1,31576.2,62.18,2,98.448,2
78265,pump,utilities,night,S2,preventive,70.83,2162.1,59.31,389.89,0.8898,2.004,5.094,88.0,98.53,15811.4,18.81,0,99.178,1
78266,pump,packaging,day,S3,preventive,52.69,1794.3,40.58,397.5,0.882,2.549,4.917,78.41,86.76,14068.4,42.8,0,98.58,1
78267,turbine,packaging,day,S3,predictive,85.85,5247.3,257.06,390.51,0.9196,3.107,6.362,99.98,106.72,28824.8,50.3,1,99.316,1
78268,mixer,packaging,night,S2,predictive,51.62,1206.3,63.66,400.31,0.9352,2.008,4.086,73.16,82.74,11302.2,46.14,0,99.243,1
78269,compressor,utilities,day,S3,reactive,81.48,3314.4,122.32,404.81,0.8891,2.811,6.046,91.69,103.82,19689.5,80.51,0,98.047,1
78270,conveyor,assembly,day,S3,preventive,62.18,907.8,51.83,393.09,0.8855,2.39,4.835,83.25,90.6,17179.6,49.82,1,98.565,1
78271,pump,packaging,night,S2,preventive,87.22,2302.7,71.71,410.53,0.8936,2.617,5.618,92.7,102.8,25944.4,71.36,1,100.0,2
78272,mixer,packaging,evening,S3,reactive,82.56,1454.1,108.1,410.43,0.887,2.296,5.756,95.38,98.8,10937.4,23.45,1,99.005,1
78273,mixer,utilities,night,S2,preventive,73.4,1562.2,117.29,400.13,0.9468,3.629,5.117,88.0,103.19,7582.3,127.18,1,98.863,3
78274,conveyor,packaging,day,S4,reactive,45.09,692.6,29.35,407.11,0.885,3.72,4.758,73.25,89.7,35538.9,73.14,1,99.66,1
78275,turbine,processing,day,S1,reactive,62.56,5112.1,198.86,413.32,,2.658,5.477,81.02,93.01,6224.9,100.4,0,99.034,1
78276,mixer,packaging,day,S1,preventive,76.77,1455.0,105.64,372.72,0.895,2.575,4.991,91.61,101.58,16553.4,29.33,0,99.715,1
78277,pump,packaging,evening,S2,preventive,35.05,1683.6,24.85,404.42,0.9439,1.401,5.085,71.39,76.23,9691.1,44.15,1,99.338,1
78278,pump,assembly,night,S4,preventive,16.52,1398.5,18.43,406.36,0.9379,2.983,4.794,58.93,66.69,32979.2,35.41,1,97.342,1
78279,mixer,assembly,day,S3,predictive,82.16,1796.0,142.24,385.28,0.9523,2.085,5.709,83.79,90.3,13757.5,2.14,1,100.0,1
78280,compressor,utilities,day,S1,predictive,86.07,3194.0,136.15,396.54,0.9234,3.342,5.712,87.15,92.38,12035.9,55.46,0,98.286,1
78281,turbine,utilities,evening,S2,reactive,66.74,4535.2,217.36,393.26,0.9227,2.473,5.28,70.97,78.13,10531.5,78.07,0,99.912,1
78282,mixer,utilities,day,S1,preventive,66.87,1496.9,107.14,398.59,0.8905,2.435,4.661,80.21,94.38,20508.3,39.35,1,98.328,1
78283,pump,utilities,day,S4,reactive,55.34,2152.8,43.25,411.34,0.9383,2.123,5.197,76.27,85.2,6283.0,55.18,0,99.063,1
78284,conveyor,utilities,night,S2,predictive,69.92,892.5,55.74,412.19,0.8927,2.022,5.576,84.05,88.72,4579.0,42.64,0,99.724,1
78285,pump,processing,day,S1,predictive,85.99,2381.6,81.19,394.59,0.9301,2.01,5.991,88.39,92.37,12996.2,19.13,1,98.909,1
78286,conveyor,assembly,night,S4,preventive,58.93,900.0,43.51,398.38,0.943,2.232,5.21,74.96,87.9,19607.1,9.47,0,98.361,1
78287,compressor,packaging,night,S3,preventive,66.79,2675.7,90.05,404.65,0.9483,2.989,5.47,87.34,102.43,17548.8,94.73,1,99.445,1
78288,conveyor,utilities,day,S1,preventive,77.25,1013.3,64.88,414.02,0.9569,2.376,4.84,,94.23,20509.1,24.34,0,99.02,2
78289,conveyor,packaging,day,S3,preventive,54.35,878.7,43.01,382.85,0.9243,2.131,4.772,76.43,85.27,7713.3,25.59,0,99.35,1
78290,turbine,processing,day,S1,preventive,65.1,4821.7,221.16,392.64,0.9188,1.807,6.617,84.17,97.51,6034.8,44.86,1,95.306,1
78291,conveyor,assembly,day,S1,reactive,58.12,893.4,42.36,395.24,0.9153,2.557,4.864,82.53,94.49,14880.7,78.75,1,99.037,1
78292,pump,utilities,day,S3,preventive,65.01,1868.4,49.8,394.93,0.8606,2.346,5.025,89.35,100.81,3401.1,22.21,1,99.222,1
78293,conveyor,processing,night,S2,reactive,52.96,805.7,36.34,380.68,0.9069,2.76,5.465,81.33,97.43,14668.5,85.66,1,99.497,2
78294,pump,utilities,day,S3,preventive,60.97,2000.6,50.78,395.66,0.9326,2.589,5.292,71.1,,13977.5,54.2,0,98.759,1
78295,pump,utilities,night,S2,preventive,61.36,2107.4,49.58,411.96,0.8618,2.585,5.054,86.95,98.72,9054.7,12.03,1,99.323,3
78296,turbine,assembly,evening,S2,reactive,71.08,5197.7,223.96,415.87,0.9538,3.143,5.677,72.64,75.29,15271.4,19.86,0,99.01,1
78297,compressor,utilities,day,S2,predictive,81.79,3390.9,107.61,400.47,0.9227,,5.482,86.98,93.69,16673.0,12.65,0,99.279,1
78298,conveyor,packaging,night,S3,preventive,44.5,825.8,33.58,410.15,0.8622,2.984,4.476,82.55,97.97,12803.1,108.23,0,98.615,1
78299,conveyor,cold_storage,day,S2,preventive,54.95,866.1,44.29,390.36,0.9328,1.832,5.46,75.4,85.89,17875.5,27.68,1,99.866,1
78300,mixer,processing,evening,S1,predictive,78.16,1415.2,98.24,386.61,0.8584,3.097,4.996,96.21,100.19,35318.8,17.63,2,98.384,2
78301,mixer,utilities,day,S2,predictive,76.94,1492.2,99.11,402.17,0.8336,2.455,5.239,86.23,101.21,16023.8,37.35,1,98.528,1
78302,mixer,processing,day,S2,preventive,105.58,1700.9,172.86,397.71,0.9455,4.018,4.795,88.91,103.57,31565.4,49.54,1,98.909,2
78303,conveyor,utilities,night,S1,preventive,60.9,852.9,50.94,414.62,0.9403,2.74,5.186,77.28,84.27,10018.1,33.92,1,99.698,1
78304,mixer,packaging,evening,S3,reactive,48.64,1313.5,77.1,391.48,0.9326,2.949,5.485,82.03,94.23,3636.4,97.21,1,98.559,1
78305,pump,assembly,night,S3,reactive,59.77,1949.7,49.65,390.58,0.9374,2.566,5.907,78.34,83.67,11549.9,87.89,0,98.238,1
78306,compressor,utilities,night,S2,preventive,51.33,2499.2,72.22,408.45,0.8691,3.378,5.723,83.72,96.05,44861.4,31.59,1,99.257,2
78307,turbine,processing,day,S3,preventive,59.76,4868.7,199.9,391.01,0.8807,2.799,6.403,83.62,90.59,35341.9,44.3,0,99.515,1
78308,conveyor,utilities,day,S3,preventive,57.6,816.2,46.01,404.42,0.9694,2.089,4.616,88.82,94.51,14145.8,44.15,1,99.815,2
78309,compressor,packaging,day,S2,reactive,65.02,2963.1,101.77,398.79,0.9078,3.289,6.152,81.47,92.4,23706.2,46.29,0,100.0,1
78310,mixer,utilities,day,S2,preventive,85.55,1589.5,123.44,394.21,0.9158,2.497,5.377,91.2,101.24,29203.8,12.06,0,98.169,1
78311,pump,cold_storage,evening,S2,preventive,60.58,2059.6,49.33,395.76,0.9189,2.911,4.333,76.83,86.6,15808.4,40.56,0,98.493,2
78312,turbine,utilities,night,S2,preventive,92.38,5089.7,265.83,405.71,0.8946,3.185,5.981,88.62,100.9,11311.5,57.18,1,98.297,3
78313,turbine,assembly,evening,S4,reactive,64.85,4714.4,202.22,400.23,0.954,2.284,6.11,84.74,95.85,4059.5,79.07,1,100.0,1
78314,mixer,utilities,day,S1,reactive,63.2,1384.4,101.42,406.73,0.8719,3.017,5.136,85.5,92.24,10503.6,96.57,0,99.045,2
78315,mixer,assembly,night,S3,preventive,73.26,1545.5,117.76,402.15,0.9235,2.726,5.588,80.82,91.37,5728.7,88.93,0,97.687,1
78316,pump,assembly,evening,S2,predictive,47.1,1908.7,38.3,400.6,0.9077,2.405,5.694,72.22,83.56,5556.9,45.58,0,99.661,1
78317,conveyor,utilities,day,S1,predictive,46.19,942.4,39.3,408.3,0.9109,2.007,5.256,72.42,75.88,14374.4,43.43,1,99.625,1
78318,compressor,packaging,day,S1,preventive,68.97,3002.7,111.27,413.26,0.8851,3.482,5.253,86.9,92.3,32862.2,65.84,1,97.568,3
78319,pump,packaging,night,S3,preventive,70.6,2091.2,54.35,399.79,0.8662,2.778,5.237,82.97,93.66,33087.0,21.17,0,98.497,2
78320,conveyor,packaging,day,S3,predictive,53.48,1001.8,45.03,416.17,0.9862,1.956,4.321,84.83,90.93,30878.6,5.43,0,99.818,1
78321,compressor,processing,day,S4,predictive,56.05,2657.1,73.13,398.21,0.8723,2.608,5.864,74.59,84.75,5338.3,30.85,1,98.064,2
78322,conveyor,processing,day,S3,preventive,67.42,1140.6,61.78,403.26,0.9476,2.025,5.671,85.87,88.81,20265.1,8.27,2,98.411,1
78323,mixer,utilities,day,S1,preventive,88.5,1647.1,140.76,388.74,0.9601,2.405,5.732,84.89,91.89,9812.1,37.28,0,98.136,1
78324,turbine,utilities,night,S2,preventive,99.45,5948.2,336.13,399.01,0.946,3.767,5.911,89.27,97.72,23109.2,62.6,2,99.787,2
78325,turbine,assembly,evening,S2,predictive,90.81,6144.8,343.38,394.77,0.9609,2.581,6.299,91.32,103.2,1342.3,49.39,0,100.0,1
78326,mixer,assembly,night,S3,predictive,56.12,1624.0,98.41,287.5,0.9432,1.703,5.132,78.22,80.26,6384.0,78.59,2,99.972,1
78327,pump,assembly,day,S4,preventive,37.0,1623.1,26.77,408.7,0.9006,3.073,5.049,79.58,86.71,24972.2,53.27,1,99.354,1
78328,compressor,utilities,evening,S4,reactive,78.9,3148.1,115.29,410.63,0.8762,2.369,5.928,91.5,103.8,10278.9,69.56,0,98.381,1
78329,conveyor,utilities,day,S1,predictive,58.15,863.2,39.65,399.06,0.9266,3.437,4.377,77.19,90.23,60227.3,19.44,1,98.376,2
78330,compressor,assembly,night,S2,predictive,76.96,3566.9,146.61,402.04,0.9232,2.627,5.76,86.62,93.25,21140.9,11.17,0,99.071,1
78331,mixer,utilities,day,S1,predictive,71.61,1518.1,122.43,391.27,0.943,3.43,4.685,82.71,102.21,20243.2,32.06,1,99.395,2
78332,mixer,packaging,night,S4,preventive,62.39,1473.2,96.19,396.6,0.9195,2.293,4.89,80.72,90.88,12734.8,12.52,3,97.919,1
78333,turbine,cold_storage,day,S1,preventive,86.82,5201.0,280.31,390.97,0.9044,2.429,5.497,84.54,88.53,12472.5,59.32,1,98.862,2
78334,compressor,processing,day,S3,reactive,78.1,3176.6,116.98,416.4,0.8748,4.194,4.954,85.49,103.4,6752.1,265.45,2,99.639,3
78335,mixer,assembly,day,S2,predictive,57.14,1436.7,82.83,398.95,0.9643,2.739,15.084,82.66,89.78,5266.0,64.7,2,99.829,1
78336,pump,packaging,day,S3,reactive,55.46,2077.4,41.15,400.27,0.9056,1.779,5.729,73.31,79.55,2009.7,42.68,0,99.178,1
78337,pump,packaging,evening,S1,predictive,68.55,2122.5,54.3,409.15,0.8947,3.242,5.505,80.28,90.81,14659.3,45.64,0,98.051,2
78338,conveyor,cold_storage,night,S2,predictive,66.0,997.2,53.09,404.53,0.922,2.52,4.831,77.06,87.47,23903.9,62.57,0,99.095,2
78339,conveyor,assembly,evening,S2,reactive,77.28,1108.2,69.36,399.8,0.9166,2.94,5.27,87.72,99.09,2692.5,74.57,0,99.142,1
78340,turbine,processing,evening,S2,preventive,65.81,4688.8,207.37,395.97,0.9549,2.753,5.677,86.96,98.54,21673.3,18.14,0,98.257,2
78341,turbine,cold_storage,night,S3,preventive,99.2,6158.2,350.8,397.96,0.8936,3.444,11.736,96.68,105.76,11140.5,74.19,0,97.984,1
78342,compressor,utilities,day,S4,predictive,55.39,2785.5,79.98,405.07,0.9427,1.557,,68.64,73.64,4459.7,13.78,0,99.136,1
78343,compressor,processing,night,S4,predictive,112.0,3815.2,176.25,406.3,0.9473,5.933,5.674,103.28,126.38,9757.6,17.12,1,99.885,3
78344,mixer,processing,night,S2,preventive,98.61,2013.9,198.46,390.91,0.9137,3.479,5.214,96.98,102.81,13172.4,14.1,1,98.972,2
78345,mixer,processing,day,S1,preventive,71.19,1472.4,122.71,398.5,0.9139,1.657,5.655,80.9,91.62,19840.5,21.19,0,97.346,1
78346,compressor,packaging,evening,S1,predictive,73.16,2538.5,99.79,386.93,0.8742,1.979,6.247,90.06,97.07,23654.6,15.98,3,98.278,1
78347,mixer,packaging,day,S3,reactive,69.0,1486.1,105.08,397.64,0.9192,3.191,5.079,84.75,100.14,18585.0,126.0,0,99.11,2
78348,pump,cold_storage,day,S2,preventive,74.53,2064.5,48.94,410.14,0.95,1.994,5.469,90.42,106.51,18596.3,8.13,1,99.651,2
78349,mixer,cold_storage,night,S3,predictive,54.24,1260.2,70.32,398.12,0.9559,1.669,5.026,73.29,78.93,6100.9,26.0,0,99.219,1
78350,turbine,assembly,day,S4,predictive,83.82,5103.7,261.81,402.82,0.9257,2.965,6.514,94.42,110.87,26578.5,17.79,0,99.351,1
78351,turbine,cold_storage,night,S1,predictive,106.0,6457.1,404.31,391.88,0.9328,3.709,6.231,94.04,103.2,32385.5,20.96,0,97.989,2
78352,pump,processing,night,S2,preventive,42.91,1960.9,35.45,399.16,0.9591,2.131,4.936,81.95,89.72,6764.8,13.1,0,98.303,1
78353,turbine,assembly,day,S3,predictive,93.53,6141.3,335.74,394.12,0.8902,4.222,5.73,86.2,102.32,10352.7,77.35,0,97.558,2
78354,pump,packaging,evening,S3,predictive,59.91,1966.1,41.62,405.8,0.8963,2.849,5.685,78.77,87.72,17052.6,41.87,1,99.273,1
78355,compressor,utilities,night,S3,preventive,73.8,3073.2,119.14,411.0,0.9356,2.715,4.897,96.99,100.97,15252.8,40.29,0,97.856,2
78356,compressor,assembly,evening,S3,predictive,34.52,2318.8,47.85,403.9,0.9633,3.067,6.451,77.72,84.66,22730.1,54.8,0,99.492,1
78357,pump,packaging,night,S2,preventive,43.88,2026.0,39.29,405.02,,2.899,4.663,62.66,70.68,21229.6,58.31,1,98.408,2
78358,conveyor,assembly,night,S2,preventive,64.26,1069.5,58.57,406.3,0.9234,2.394,5.024,84.9,90.53,6722.9,34.63,0,99.363,1
78359,turbine,packaging,day,S2,preventive,63.9,4461.6,169.28,392.39,0.8842,2.596,6.328,81.37,94.21,14158.1,34.06,0,98.788,1
78360,conveyor,assembly,day,S2,reactive,33.11,694.3,25.44,398.05,0.9131,2.991,4.699,75.27,77.68,11957.6,185.85,1,99.164,1
78361,conveyor,cold_storage,day,S2,reactive,77.72,1168.7,62.73,390.93,0.9125,2.837,4.865,88.25,103.78,12125.9,48.88,1,100.0,3
78362,conveyor,assembly,evening,S2,predictive,37.19,739.7,24.32,395.76,0.9279,2.84,4.693,73.94,83.73,47255.5,21.22,1,100.0,1
78363,mixer,processing,evening,S3,preventive,60.18,1261.7,82.28,391.08,0.9022,1.192,4.631,67.46,75.69,16688.8,41.94,0,99.53,1
78364,compressor,packaging,day,S3,predictive,83.93,3151.2,119.34,418.41,0.9284,1.99,5.253,92.65,99.2,7980.7,13.39,0,98.198,1
78365,conveyor,utilities,day,S2,predictive,79.89,1115.0,62.54,413.46,0.9381,2.076,5.157,91.05,91.68,4166.6,64.52,1,99.907,1
78366,mixer,assembly,day,S3,predictive,53.29,1525.4,86.95,390.04,0.8749,2.08,4.596,72.71,83.78,13850.5,26.22,0,98.127,2
78367,conveyor,processing,evening,S1,preventive,89.82,1120.5,77.34,400.55,0.8733,3.552,5.174,92.76,101.52,20750.6,122.19,0,99.791,2
78368,pump,processing,day,S1,reactive,72.74,2397.8,63.33,403.96,0.8631,2.772,5.086,78.16,88.89,13393.1,68.67,1,98.51,2
78369,pump,processing,night,S4,preventive,92.71,2628.2,100.44,384.66,0.8855,3.441,4.783,89.74,98.27,25920.4,21.33,1,98.407,2
78370,mixer,processing,day,S1,reactive,61.77,1096.9,66.72,397.24,0.9449,1.761,5.828,77.45,83.31,4933.4,61.31,0,97.435,1
78371,pump,assembly,day,S3,predictive,59.28,2148.3,47.49,398.66,0.8633,2.674,4.908,77.11,89.72,25328.1,47.83,0,97.898,1
78372,mixer,cold_storage,evening,S2,preventive,98.62,1827.1,195.22,392.53,0.9089,3.32,4.294,88.49,95.59,11526.0,114.19,0,98.755,2
78373,pump,packaging,evening,S3,reactive,59.65,2309.2,57.36,405.43,0.8468,4.275,4.473,89.57,101.46,41855.8,183.2,0,98.358,3
78374,compressor,packaging,evening,S2,preventive,72.39,3248.6,119.28,411.86,0.8629,5.266,5.064,85.42,94.69,35693.4,135.33,2,98.383,3
78375,pump,assembly,night,S3,preventive,64.87,2259.1,56.65,396.02,0.9041,2.265,5.583,71.2,76.6,18183.5,43.68,0,99.448,1
78376,pump,processing,day,S2,reactive,65.57,1916.0,43.78,380.38,0.911,2.548,5.785,94.1,104.88,6180.7,54.66,1,98.149,2
78377,turbine,processing,evening,S4,predictive,78.86,5617.3,258.68,414.99,0.9038,2.696,6.281,91.32,100.96,20316.9,41.0,1,99.597,1
78378,mixer,packaging,night,S2,preventive,65.31,1497.4,106.43,397.79,0.95,1.43,5.946,84.1,96.58,6777.8,48.52,0,100.0,1
78379,turbine,processing,day,S2,predictive,89.68,5678.8,310.11,398.35,0.8536,2.959,5.764,95.53,106.17,10018.0,39.86,1,99.501,3
78380,conveyor,packaging,day,S2,reactive,46.41,794.0,35.37,403.13,0.8923,2.257,4.455,69.62,77.0,41450.7,50.44,1,98.789,1
78381,turbine,cold_storage,evening,S1,predictive,84.24,5005.2,238.45,405.09,0.9057,2.841,6.066,82.42,91.43,21889.2,61.4,0,98.486,1
78382,turbine,processing,day,S4,preventive,74.83,4662.7,226.96,392.79,0.9597,3.046,5.848,88.81,97.34,13732.6,63.42,0,98.631,1
78383,conveyor,cold_storage,day,S1,reactive,52.46,918.9,43.45,394.44,0.8294,1.94,4.989,68.57,73.8,31027.1,58.16,4,99.319,1
78384,conveyor,packaging,night,S2,preventive,37.01,889.8,32.57,414.14,,1.804,4.606,64.2,70.12,10817.9,8.86,0,98.812,1
78385,pump,cold_storage,night,S1,predictive,82.91,2286.9,68.21,384.07,0.8932,2.727,5.075,87.94,93.5,17746.4,45.98,1,98.258,1
78386,conveyor,processing,evening,S2,predictive,77.47,1052.5,71.67,393.03,0.936,3.568,4.408,87.58,100.05,12355.4,74.44,0,99.243,3
78387,turbine,packaging,day,S2,preventive,87.45,5568.4,284.37,405.92,0.9292,2.638,6.122,87.36,98.3,3415.4,36.55,1,98.921,1
78388,pump,cold_storage,night,S2,predictive,78.71,2227.4,60.11,402.48,0.9151,2.561,5.303,74.53,83.06,13386.0,35.37,0,98.757,1
78389,compressor,assembly,day,S2,preventive,42.53,2497.7,59.02,405.66,0.9465,2.711,6.269,67.41,78.65,12053.2,44.72,1,98.938,1
78390,compressor,cold_storage,day,S4,preventive,80.83,3013.7,122.12,377.0,0.8981,5.934,4.823,87.54,95.95,14963.7,141.9,2,98.913,3
78391,compressor,assembly,evening,S1,predictive,59.57,2967.6,92.7,391.77,0.9406,1.634,5.549,74.75,85.67,18824.3,3.86,1,98.212,1
78392,compressor,packaging,night,S2,preventive,88.25,3454.3,134.31,403.95,0.8796,1.905,6.321,85.77,91.61,6205.1,2.78,1,99.382,1
78393,turbine,packaging,evening,S3,preventive,73.28,5062.1,246.86,399.37,0.9371,2.328,6.063,82.96,95.68,21957.0,59.39,1,98.712,2
78394,pump,packaging,day,S1,predictive,75.69,2294.9,59.3,404.18,0.9244,2.862,5.769,85.79,94.83,24233.6,37.96,1,99.235,1
78395,mixer,processing,day,S2,reactive,67.99,1479.4,87.84,398.73,0.9424,3.778,4.237,86.06,98.81,16773.8,107.79,1,99.117,3
78396,conveyor,processing,day,S3,preventive,53.47,906.3,47.83,399.23,0.9668,2.17,5.556,72.8,85.1,16910.4,45.1,0,98.596,1
78397,compressor,cold_storage,evening,S3,predictive,68.52,2941.9,87.72,409.23,0.8984,2.854,5.45,89.69,95.47,8672.1,52.58,0,99.641,1
78398,pump,processing,night,S2,preventive,72.02,2397.7,66.49,352.21,0.8898,2.295,4.66,78.15,82.43,14634.3,63.96,0,98.9,2
78399,compressor,packaging,evening,S3,preventive,58.87,2926.7,82.51,396.49,,2.004,6.251,86.32,96.23,10715.0,9.93,0,100.0,1
78400,pump,processing,day,S2,preventive,72.41,2402.1,65.37,388.11,0.9288,2.545,5.542,84.62,95.97,20711.9,49.21,2,99.399,1
78401,pump,processing,night,S1,preventive,84.51,2438.3,72.15,400.83,0.8659,2.455,5.752,100.33,108.44,11245.2,42.98,0,97.77,2
78402,compressor,processing,evening,S2,preventive,91.59,3802.8,153.91,411.73,0.8884,4.04,5.763,97.92,110.05,9549.2,119.01,2,100.0,3
78403,pump,cold_storage,day,S2,reactive,81.37,2208.2,67.3,390.93,0.9427,2.477,5.72,81.06,87.08,10421.1,73.77,0,99.141,1
78404,conveyor,cold_storage,day,S3,preventive,55.48,973.3,53.16,395.58,0.9017,3.207,4.78,78.6,91.31,34647.9,68.28,1,99.092,1
78405,compressor,processing,day,S2,preventive,70.56,3109.5,111.4,400.83,0.8715,2.649,5.714,85.68,98.84,22597.5,55.99,2,99.146,1
78406,pump,cold_storage,day,S2,preventive,65.38,2187.9,57.43,401.51,0.886,2.53,4.774,77.84,83.23,10994.5,66.39,0,99.043,1
78407,mixer,assembly,day,S3,reactive,79.12,1511.1,113.52,395.15,0.9277,3.731,5.265,92.05,106.93,7023.6,91.7,1,98.3,2
78408,conveyor,utilities,evening,S3,predictive,39.66,869.2,35.11,389.35,0.9674,2.555,4.69,75.58,87.55,18190.0,96.61,0,98.339,1
78409,pump,packaging,evening,S2,reactive,70.66,2333.4,59.16,398.34,0.8936,,5.343,77.51,89.19,20319.1,158.38,1,99.017,1
78410,pump,assembly,evening,S2,preventive,59.89,2069.6,48.24,394.63,0.9162,2.035,5.477,76.91,86.07,21070.9,8.8,0,98.214,1
78411,turbine,assembly,night,S3,preventive,61.23,4705.2,162.77,399.22,0.9818,1.339,6.19,70.88,76.19,1856.7,45.1,0,99.885,1
78412,conveyor,assembly,day,S3,reactive,41.54,862.8,35.32,392.27,0.9262,2.167,5.035,80.37,89.53,13289.9,29.96,1,100.0,2
78413,compressor,assembly,day,S3,preventive,63.71,3061.7,102.78,401.51,0.9006,3.522,4.871,83.89,97.3,54793.5,5.65,1,99.478,3
78414,turbine,cold_storage,night,S4,predictive,79.48,5210.6,233.22,384.89,0.9187,2.862,6.124,78.6,84.22,26630.8,18.89,1,100.0,1
78415,conveyor,assembly,evening,S2,preventive,71.48,1098.5,62.55,408.16,0.9793,4.954,4.738,92.11,105.25,20975.8,34.71,0,99.557,2
78416,turbine,utilities,evening,S3,preventive,69.83,4652.6,194.92,384.92,0.835,2.619,6.436,79.46,89.44,12201.5,104.96,1,99.574,1
78417,conveyor,processing,night,S3,preventive,74.24,1022.6,57.28,413.36,0.8628,3.218,4.429,86.8,96.87,30597.4,96.78,1,98.107,2
78418,pump,utilities,day,S2,preventive,71.21,2371.1,55.51,408.95,0.9243,3.291,5.553,82.76,99.05,29912.2,68.58,1,99.783,1
78419,mixer,cold_storage,day,S3,predictive,75.0,1428.7,101.94,405.52,0.9388,2.179,5.146,71.0,74.95,23154.1,52.42,2,99.086,1
78420,conveyor,assembly,day,S1,reactive,59.94,965.0,49.38,397.01,0.9052,2.942,4.051,82.24,92.92,22642.8,61.32,2,98.365,1
78421,compressor,assembly,evening,S3,preventive,46.68,2864.4,78.47,408.26,0.9179,2.274,5.454,80.49,86.61,42954.2,3.88,1,99.021,1
78422,pump,assembly,day,S3,preventive,53.43,2134.0,50.5,397.27,1.0,2.536,5.47,70.96,83.44,17439.8,67.93,1,98.564,1
78423,conveyor,processing,day,S3,reactive,50.85,791.6,35.57,387.49,0.9545,1.886,4.686,74.33,82.25,12304.7,64.3,1,99.358,1
78424,pump,processing,night,S2,reactive,78.17,2528.5,79.22,389.74,0.8501,3.841,4.529,88.69,97.9,7678.7,180.18,2,99.025,2
78425,mixer,processing,day,S2,reactive,72.2,1626.4,126.62,391.46,0.9119,3.083,4.697,91.38,107.23,8098.8,86.11,1,99.216,1
78426,conveyor,assembly,night,S3,preventive,19.99,571.6,15.75,406.59,0.9217,2.828,5.601,66.24,77.54,18355.0,90.28,1,99.181,1
78427,pump,utilities,day,S1,reactive,61.2,2245.2,49.98,408.35,0.9323,2.145,5.064,87.87,92.98,18025.6,30.91,0,98.496,1
78428,pump,cold_storage,night,S2,preventive,76.11,1958.7,55.3,382.2,0.8892,2.516,4.948,84.78,93.35,5371.9,38.45,0,98.817,1
